canonical,activity
O=C(CSc1ncccc1C(=O)[O-])Nc1nc2c(s1)CCCC2,0
CC(NC(=O)CCC1=c2ccccc2=[NH+]C1)c1cccc(S(N)(=O)=O)c1,0
Cc1cccc(C)c1OCCNC(=O)NCC(O)C[NH+]1CCC(C)CC1,0
CC(=O)c1ccc(NC(=O)C(C)N2CC[NH+](CC(=O)Nc3ccccc3C(F)(F)F)CC2)cc1,0
C[NH+]1CCCC(CNC(=O)C2(C(N)=S)CCCCCC2)C1,0
CC(C)C(=O)N1CCC2=c3ccccc3=[NH+]C2C12C(=O)Nc1ccc(Br)cc12,0
Cn1nccc1-c1coc(C(=O)NC2CNCCC2c2ccc(Cl)cc2)c1,1
CC(C)CC(NC(=O)OC(C)(C)C)C(=O)N1CCC(C(=O)NC(C(=O)Nc2ccc(F)cc2)C(C)C)CC1,0
Cc1ccc(S(=O)(=O)N=C2N=c3ccccc3=[NH+]C2Nc2cccc(-c3ccc([N+](=O)[O-])cc3)c2)cc1,0
CC1CCCC[NH+]1CCCNC(=O)c1cn2c(n1)CCC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C2,0
O=C(CCn1nc([O-])ccc1=O)Nc1ccc(Cl)cc1F,0
CCOc1cccc(C2NC(N)=[NH+]c3nc4cc5c(cc4n32)OCCCO5)c1OC,0
COc1ccc2[nH]c3c(c2c1)CC[NH2+]C3c1c(O)nc(O)n(-c2cccc3ccccc23)c1=O,0
CCc1oc2ccccc2c1C[NH+](C)C(C)C(=O)Nc1sc2c(c1C(N)=O)CCC2,0
CC(c1nc2ccccc2c(=O)[nH]1)N(CCCCCC[NH3+])C(=O)C1CCCCC1,0
CC(NC(=O)C[NH+]1CCCC1c1nc2ccccc2s1)c1ccc(S(N)(=O)=O)cc1,0
Cn1c(NNC2=c3ccccc3=[NH+]C2=O)nc2c1c(=O)[nH]c(=O)n2C,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1O,1
NC(=O)COc1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1,1
CC1(C)Cc2c(cnn2-c2ccc(F)cc2)C([NH2+]Cc2ccc(O)cc2)C1,0
CC[NH+](CC)CC(C)NS(=O)(=O)c1c(Br)cc(N)cc1Br,0
O=C(COc1ccc([N+](=O)[O-])cc1)NN=Cc1ccc(OC(=O)c2cccc(Br)c2)cc1,0
O=C(NC1(c2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CCC1)c1ccc(F)cc1,1
Cc1ccc(NC(=O)C[NH2+]Cc2ccc(Br)s2)cc1,0
Cc1cccc2sc(Nc3ncnc(NC4CC(C)(C)[NH2+]C(C)(C)C4)c3[N+](=O)[O-])nc12,0
COc1ccc(CNC(=O)CCC2CNC(=O)C3C(CCN3Cc3ccc(C)cc3)[NH+]2C)cc1,0
CCn1nc(C)c(CN(CC[NH+]2CCCCC2)CC2CCC[NH+](C3CCCC3)C2)c1C,0
Cc1ccc(C)c(NC(=O)C[NH+](C)CC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,0
CC(Cc1ccsc1)NS(=O)(=O)c1ccc(CC[NH3+])cc1,0
CC(C)(C)CC(C)(C)NC(=O)C(c1ccc(Cl)cc1)N(C(=O)c1cccc(O)c1O)C(C)(C)C,0
Cn1c(CC(=O)N2CC(C)(C)c3c(Cl)cccc32)nc(N2CCOCC2)cc1=O,1
Cc1ccccc1C(C(=O)NC(C)(C)CC(C)(C)C)N(C(=O)c1ccco1)c1ccccc1,0
C[NH+](C)C1CCN(Cc2ccc(NN)c([N+](=O)[O-])c2)CC1,0
CCOc1ccc(NC(=O)C(NC(=O)C2CCN(C(=O)C3CCC[NH2+]3)CC2)C(C)C)cc1,0
COc1ccc(OCC(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc(Cl)cc2Cl)cc1,0
CCOC(=O)C1=C(CSC(=[NH2+])NC2CC2)NC(=O)NC1c1ccco1,0
CCCC(C)NC(=O)C1CN(C(=O)c2sccc2C)CC12CC[NH2+]CC2,0
C[NH+](CC(=O)Nc1cccc(S(=O)(=O)N=C2CCCCCN2)c1)Cc1ccc(C(C)(C)C)cc1,0
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c(F)cc(F)cc4F)c3)cc12,1
Cc1c(NCCN2CCCC2)cc(COCC(F)(F)F)cc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1,1
CC1=CC2=[NH+]C(c3ccccc3)C(n3nnc4ccccc43)C(O)N2N1,0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1c2ccccc2CC1c1ccc(F)cc1,1
CC([NH2+]CCS(N)(=O)=O)c1ccc(F)c(Br)c1,0
CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(c5nnc(-c6ccccn6)[nH]5)CC4)cc3)nc2n1,1
CCc1ccc(C2=NC(c3ccc(F)cc3)[NH2+]C(c3ccccc3O)C2)cc1,0
CCC([NH3+])C(c1ccc(Br)s1)N1CCOC2CCCCC21,0
CNC(=O)C1CC([NH2+]C2C3CC4CC(C3)CC2C4)CN1Cc1ccccc1Cl,0
O=C(C[NH2+]CC1CCCO1)Nc1sc2c(c1C(=O)Nc1ccc(Br)cc1)CCC2,0
CC(NC(=O)C1Cc2cc(C(F)(F)F)ccc2N2CC[NH+](C3CCCCC3)CC12)c1ccccc1,0
C[NH+]1CCN(C(=O)C(=NNc2ccccc2C(F)(F)F)C(N)=S)CC1,0
Cc1ccc(C=NNc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)o1,0
NC(=O)C(NC(=O)NCC1CCC[NH+]1CC1CCCCC1)C(N)=O,0
CC([NH3+])C(Sc1n[nH]c(=O)n1C(C)C)c1ccc(Br)s1,0
COc1ccccc1NS(=O)(=O)c1cccc(C(=O)NNC(=S)Nc2c(C)cccc2C)c1,0
