canonical,activity
c1ccc(NCc2ccc(CNc3ccccn3)cc2)nc1,1
c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,1
c1cc2nc(c1)CCNCCN(Cc1ccc(CN3CCNCCc4cccc(n4)CCNCC3)cc1)CCNCC2,1
CC1(C)CN2C(CSC(=NC3CCCCC3)NC3CCCCC3)=CSC2=N1,1
CC1(C)CN2C(CSC(=NC3CCCCCC3)NC3CCCCCC3)=CSC2=N1,1
C1=C(CSC(=NC2CCCCCC2)NC2CCCCCC2)N2CCN=C2S1,1
CN(C)CCCc1c(CN(C)C2CCCc3cccnc32)ncc2ccccc12,1
CC(C)N1CCCC(Cn2c(CN(C)C3CCCc4cccnc43)nc3ccccc32)C1,1
C1=C(CSC(=NC2CCCCCCC2)NC2CCCCCCC2)N2CCN=C2S1,1
C1=C(CSC(=NC2CCCCC2)NC2CCCCCC2)N2CCN=C2S1,1
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1
C1=C(CSC(=NC2CCCCC2)NC2CCCCCCC2)N2CCN=C2S1,1
c1ccc(CNCc2ccc(CN3CCCNCCNCCCNCC3)cc2)nc1,1
C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,1
NCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
C1=C(CSC(=NC2CCCCC2)NC2C3CC4CC(C3)CC2C4)N2CCN=C2S1,1
CN(C)CC(=O)NCc1c(CN(C)C2CCCc3cccnc32)ncc2ccccc12,1
CN(Cc1nc2ccccc2n1CCCN)C1CCCc2cccnc21,1
NCc1ccccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCCN=C2S1,1
c1cc(CN2CCCNCCNCCNCCC2)ccc1CN1CCCNCCNCCNCCC1,1
NCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
NCCCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
CN1CCC(n2c(CN(C)C3CCCc4cccnc43)nc3ccccc32)CC1,1
NCC=CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
CN(C)CCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
Nc1ccn(C2CCC(CO)O2)c(=O)n1,1
NCc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)cc1,1
NCC=CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
C1=C(CSC(=NC2CCCCC2)NC2CCCC2)N2CCN=C2S1,1
CNCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
CC(C)(C)C1CCC(NC(=NC2CCCCC2)SCC2=CSC3=NCCN23)CC1,1
N#CCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
C1=C(CSC(=NC2CCCC2)NC2CCCC2)N2CCN=C2S1,1
NCCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
CN(C(=NC1CCCCC1)SCC1=CSC2=NCCN12)C1CCCCC1,1
NCC#CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,1
C1=C(CSC(=NC2CCCC2)NC2CCCC2)N2CCN=C2S1,1
